ID,heading,sortid,path
1,*****,1.5,14/0001/A1100
2,A,2.5,14/0001/B4491
3,AALAS,3.5,14/0001/A1002
4,A.B.C.,4.5,14/0001/A1003
5,A.C.I.,5.5,14/0001/A1004
6,A-D,6.5,14/0001/A1005
7,AGPA,7.5,14/0001/A1006
8,AID,8.5,14/0001/A1007
9,AILA,9.5,14/0002/A1008
10,A.L.,10.5,14/0002/A1009
11,A.M.,11.5,14/0002/A1010
12,APL,12.5,14/0002/A1011
13,ARS,13.5,14/0002/A1012
14,ASM,14.5,14/0002/A1013
15,A.T.,15.5,14/0002/A1014
16,Aa,16.5,21/0003/A1015
17,Aagaard,17.5,21/0003/A1016
18,Aalund,18.5,21/0003/A1017
19,Aaron,19.5,21/0003/A1018
20,Aaronson,20.5,21/0003/A1019
21,Abadan,21.5,14/0004/A1020
22,"Abailard, Pierre",22.5,sub
23,"Abailard, Pierre (Subject)",23.5,14/0004/A1026
24,Abailard et Eloise,24.5,14/0004/A1047
25,Abandoned,25.5,14/0004/A1022
26,Abaza,26.5,14/0004/A1027
27,Abb,27.5,14/0004/A1028
28,Abbas,28.5,14/0004/A1029
29,Abbasids,29.5,14/0004/A1030
30,Abbattista,30.5,4/0005/A1031
31,Abbey,31.5,4/0005/A1032
32,Abbot,32.5,4/0005/A1033
33,"Abbot, H",33.5,4/0005/A1034
34,Abbott,34.5,4/0005/A1035
35,"Abbott, E",35.5,4/0005/A1036
36,"Abbott, G",36.5,4/0005/A1037
37,"Abbott, J",37.5,4/0005/A1038
38,"Abbott, K",38.5,4/0006/A1039
39,Abboushi,39.5,4/0006/A1040
40,Abbt,40.5,4/0006/A1041
41,Abd,41.5,4/0006/A1042
42,Abd al-Aziz,42.5,4/0006/A1043
43,Abd al-Badi,43.5,4/0006/A1044
44,Abd al-Daim,44.5,4/0006/A1045
45,Abd al-Hadi,45.5,4/0006/A1046
46,Abd al-Hamid,46.5,21/0007/A1048
47,"Abd al-Hamid, Nabil",47.5,21/0007/A1049
48,Abd al-Ilah,48.5,21/0007/A1050
49,Abd al-Latif,49.5,21/0007/A1051
50,Abd al-Malik,50.5,21/0007/A1052
51,Abd al-Muid,51.5,21/0007/A1053
52,Abd al-Qadim Zallum,52.5,21/0007/A1054
53,Abd al-Qahhar,53.5,14/0008/A1055
54,Abd al-Rahman,54.5,14/0008/A1056
55,Abd al-Rahman Aba,55.5,14/0008/A1057
56,Abd al-Rahman Kakuzkarya i,56.5,14/0008/A1082
57,Abd al-Rashid,57.5,14/0008/A1058
58,Abd al-Salam,58.5,14/0008/A1059
59,Abd al-Vahid,59.5,14/0008/A1060
60,Abd Allah,60.5,14/0008/A1061
61,Abd Allah al-Hamid,61.5,4/0009/A1062
62,Abd Allah ibn Saba,62.5,4/0009/A1063
63,Abdalla,63.5,4/0009/A1064
64,Abdihoxha,64.5,4/0009/A1065
65,Abdul,65.5,4/0009/A1066
66,Abdullah,66.5,4/0009/A1067
67,Abdullina,67.5,4/0009/A1068
68,Abdy,68.5,4/0010/A1069
69,Abegg,69.5,4/0010/A1070
70,Abel,70.5,4/0010/A1071
71,"Abel, N",71.5,4/0010/A1072
72,Abeles,72.5,4/0010/A1073
73,Abels,73.5,4/0010/A1074
74,Abendlandfahrt,74.5,4/0010/A1075
75,Aber,75.5,4/0010/A1076
76,Abercrombie,76.5,4/0010/A1077
77,Abercromby,77.5,1/0011/A1078
78,Aberdeen,78.5,1/0011/A1079
79,"Aberdeenshire, Scottland",79.5,1/0011/A1080
80,Abert,80.5,1/0011/A1081
81,Abhandlungen,81.5,1/0011/A1083
82,Abhandlungen zur anthropologie,82.5,1/0011/A1084
83,Abhari,83.5,1/0011/A1085
84,Abich,84.5,1/0011/A1086
85,Abidi,85.5,1/0012/A1087
86,Ability,86.5,1/0012/A1088
87,Abimelech,87.5,1/0012/A1089
88,Abiuso,88.5,1/0012/A1090
89,Abney,89.5,1/0012/A1091
90,Abolition,90.5,1/0012/A1092
91,Abordaje,91.5,1/0012/A1093
92,Abors,92.5,9/0013/A1094
93,Abortion,93.5,sub
94,Abortion (Jewish law),94.5,9/0013/A1099
95,Aboth,95.5,9/0013/A1101
96,Aboth de Rabbi Nathan,96.5,9/0013/A1134
97,About,97.5,9/0013/A1103
98,Abr,98.5,9/0013/A1104
99,Abraham (Forename),99.5,9/0013/A1140
100,Abraham (Surname),100.5,9/0013/A1105
101,"Abraham, P",101.5,19/0014/A1106
102,"Abraham (Titles, etc.)",102.5,19/0014/A1141
103,Abraham C,103.5,19/0014/A1107
104,Abrahams,104.5,19/0014/A1108
105,Abramov,105.5,19/0014/A1109
106,Abrams,106.5,19/0014/A1110
107,Abranches,107.5,19/0014/A1111
108,Abreu,108.5,19/0014/A1112
109,Abri,109.5,19/0015/A1113
110,Abro,110.5,19/0015/A1114
111,Absar,111.5,19/0015/A1115
112,Abshire,112.5,19/0015/A1116
113,Absorption,113.5,19/0015/A1117
114,Abstract,114.5,19/0015/A1118
115,Abstraction,115.5,19/0015/A1119
116,Abstrakta,116.5,19/0016/A1120
117,"Abu, Abd",117.5,19/0016/A1121
118,Abu al-Abbas,118.5,19/0016/A1122
119,Abu al-Fadl,119.5,19/0016/A1123
120,Abu al-Hasan,120.5,19/0016/A1124
121,Abu al-Layl,121.5,19/0016/A1125
122,Abu al-Qasim,122.5,19/0016/A1126
123,Abu al-Rabi,123.5,19/0017/A1127
124,Abu Bakr,124.5,19/0017/A1128
125,Abu Dabs,125.5,19/0017/A1129
126,Abu Hadid,126.5,19/0017/A1130
127,Abu Ibbiyah,127.5,19/0017/A1131
128,Abu-Lughod,128.5,19/0017/A1132
129,Abu-Naaman,129.5,19/0017/A1133
130,Abu Rashid,130.5,19/0018/A1135
131,Abu Shafi,131.5,19/0018/A1136
132,Abu Tabar,132.5,19/0018/A1137
133,Abu Zabi,133.5,19/0018/A1138
134,Abuaf,134.5,19/0018/A1139
135,Abun-Nasr,135.5,19/0018/A1142
136,Aby,136.5,19/0018/A1143
