ID,heading,sortid,parentid,path,heading,sortid,parentid,path
1,V-Z,50349.5,50347.5,9/0091/A3037,V-Z,50349.5,50347.5,9/0091/A3037
2,Afdeling natuurkunde,50350.5,50345.5,9/0091/A3067,Afdeling natuurkunde,50350.5,50345.5,9/0091/A3067
3,Afdeling voor ...,50351.5,50345.5,9/0091/A3038,Afdeling voor ...,50351.5,50345.5,9/0091/A3038
4,(Without subdivision),50352.5,540.5,sub,(Without subdivision),50352.5,540.5,sub
5,(As author),50353.5,50352.5,sub,(As author),50353.5,50352.5,sub
6,(By title),50354.5,50353.5,sub,(By title),50354.5,50353.5,sub
7,A-K,50355.5,50354.5,9/0092/A3130,A-K,50355.5,50354.5,9/0092/A3130
8,L-Z,50356.5,50354.5,9/0092/A3048,L-Z,50356.5,50354.5,9/0092/A3048
9,(As subject),50357.5,50352.5,9/0092/A3045,(As subject),50357.5,50352.5,9/0092/A3045
10,(By topic or sub-agency),50358.5,540.5,sub,(By topic or sub-agency),50358.5,540.5,sub
11,Addresses ... >,50359.5,50358.5,9/0092/A3131,Addresses ... >,50359.5,50358.5,9/0092/A3131
12,Biblioteka >,50360.5,50358.5,3/0093/A3022,Biblioteka >,50360.5,50358.5,3/0093/A3022
13,Einshteinovkii ... >,50361.5,50358.5,3/0093/A3003,Einshteinovkii ... >,50361.5,50358.5,3/0093/A3003
14,Institut Afriki >,50362.5,50358.5,3/0093/A3058,Institut Afriki >,50362.5,50358.5,3/0093/A3058
15,Institut Dalnego >,50363.5,50358.5,3/0093/A3059,Institut Dalnego >,50363.5,50358.5,3/0093/A3059
16,Institut etnografii,50364.5,50358.5,sub,Institut etnografii,50364.5,50358.5,sub
17,(Without subdivision),50365.5,50364.5,sub,(Without subdivision),50365.5,50364.5,sub
18,(By title),50366.5,50365.5,sub,(By title),50366.5,50365.5,sub
19,A-N,50367.5,50366.5,3/0093/A3132,A-N,50367.5,50366.5,3/0093/A3132
20,O-Z,50368.5,50366.5,3/0093/A2999,O-Z,50368.5,50366.5,3/0093/A2999
21,(By topic or sub-agency),50369.5,50364.5,3/0093/A3051,(By topic or sub-agency),50369.5,50364.5,3/0093/A3051
22,Institut evoliutsionnoi ... >,50370.5,50358.5,3/0093/A3077,Institut evoliutsionnoi ... >,50370.5,50358.5,3/0093/A3077
23,Institut fizicheskoi >,50371.5,50358.5,8/0094/A2990,Institut fizicheskoi >,50371.5,50358.5,8/0094/A2990
24,Institut gosudarstva ...,50372.5,50358.5,8/0094/A3068,Institut gosudarstva ...,50372.5,50358.5,8/0094/A3068
25,Institut iazyka ... >,50373.5,50358.5,8/0094/A3069,Institut iazyka ... >,50373.5,50358.5,8/0094/A3069
26,Institut istorii,50374.5,50358.5,sub,Institut istorii,50374.5,50358.5,sub
27,(Without subdivision),50375.5,50374.5,sub,(Without subdivision),50375.5,50374.5,sub
28,(By title),50376.5,50375.5,sub,(By title),50376.5,50375.5,sub
29,A-K,50377.5,50376.5,8/0094/A3133,A-K,50377.5,50376.5,8/0094/A3133
30,L-Z,50378.5,50376.5,8/0094/A3072,L-Z,50378.5,50376.5,8/0094/A3072
31,(By topic or sub-agency),50379.5,50374.5,8/0094/A3071,(By topic or sub-agency),50379.5,50374.5,8/0094/A3071
32,"Institut istorii, arkheologii ... >",50380.5,50358.5,8/0094/A3078,"Institut istorii, arkheologii ... >",50380.5,50358.5,8/0094/A3078
33,Institut istorii SSSR >,50381.5,50358.5,9/0095/A3079,Institut istorii SSSR >,50381.5,50358.5,9/0095/A3079
34,Institut konkretnykh ... >,50382.5,50358.5,9/0095/A3080,Institut konkretnykh ... >,50382.5,50358.5,9/0095/A3080
35,Institut mirovoi ekonomiki ... >,50383.5,50358.5,9/0095/A3081,Institut mirovoi ekonomiki ... >,50383.5,50358.5,9/0095/A3081
36,Institut mirovoi literatury,50384.5,50358.5,sub,Institut mirovoi literatury,50384.5,50358.5,sub
37,(Without subdivision),50385.5,50384.5,sub,(Without subdivision),50385.5,50384.5,sub
38,A-N,50386.5,50385.5,9/0095/A3134,A-N,50386.5,50385.5,9/0095/A3134
39,O-Z,50387.5,50385.5,9/0095/A3085,O-Z,50387.5,50385.5,9/0095/A3085
40,Institut morfologii ... >,50388.5,50358.5,9/0095/A3086,Institut morfologii ... >,50388.5,50358.5,9/0095/A3086
41,Institut nauchnoi ... >,50389.5,50358.5,9/0095/A3087,Institut nauchnoi ... >,50389.5,50358.5,9/0095/A3087
42,Institut russkogo ... >,50390.5,50358.5,8/0096/A3088,Institut russkogo ... >,50390.5,50358.5,8/0096/A3088
43,Institut russkoi ... >,50391.5,50358.5,8/0096/A3089,Institut russkoi ... >,50391.5,50358.5,8/0096/A3089
44,Institut SShA,50392.5,50358.5,8/0096/A3090,Institut SShA,50392.5,50358.5,8/0096/A3090
45,Institut Soedinennykh ... >,50393.5,50358.5,8/0096/A3091,Institut Soedinennykh ... >,50393.5,50358.5,8/0096/A3091
